id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
2450;-22,73;-45,58;Vriesea;Vriesea;bituminosa;Wawra;bituminosa;Wawra;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;chi;p;NA
2450;-22,73;-45,58;Vriesea;Vriesea;bituminosa;Wawra;bituminosa;Wawra;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;thr;p;NA
2451;-22,73;-45,58;Vriesea;Vriesea;sazimae;Leme;sazimae;Leme;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;chi;p;NA
2451;-22,73;-45,58;Vriesea;Vriesea;sazimae;Leme;sazimae;Leme;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;thr;p;NA
2452;-22,73;-45,58;Dyssochroma;Dyssochroma;viridiflorum;(Sims) Miers;viridiflorum;(Sims) Miers;Glossophaginae;NA;NA;sp. 4;NA;sp. 4;NA;bat;bel;p;NA
2452;-22,73;-45,58;Dyssochroma;Dyssochroma;viridiflorum;(Sims) Miers;viridiflorum;(Sims) Miers;Glossophaginae;NA;NA;sp. 4;NA;sp. 4;NA;bat;che;p;NA
2452;-22,73;-45,58;Dyssochroma;Dyssochroma;viridiflorum;(Sims) Miers;viridiflorum;(Sims) Miers;Glossophaginae;NA;NA;sp. 4;NA;sp. 4;NA;bat;win;p;NA
2453;-23,35;-48,77;Dyssochroma;Dyssochroma;viridiflorum;(Sims) Miers;viridiflorum;(Sims) Miers;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;ros;p;1
2477;-23,35;-48,77;Hillia;Hillia;illustris;K.Schum.;illustris;(Vell.) K. Schum;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;chi;p;1
2477;-23,35;-48,77;Hillia;Hillia;illustris;K.Schum.;illustris;(Vell.) K. Schum;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;thr;p;1
2478;-23,35;-48,77;Inga;Inga;edulis;Mart.;edulis;Mart.;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;(Offers, 1818);Artibeus lituratus;(Olfers, 1818);bat;chi;p;0.5
2478;-23,35;-48,77;Inga;Inga;edulis;Mart.;edulis;Mart.;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;(Offers, 1818);Artibeus lituratus;(Olfers, 1818);bat;ros;p;0.5
2478;-23,35;-48,77;Inga;Inga;edulis;Mart.;edulis;Mart.;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;(Offers, 1818);Artibeus lituratus;(Olfers, 1818);bat;sho;p;0.5
2479;-23,35;-48,77;Inga;Inga;edulis;Mart.;edulis;Mart.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;chi;p;0.5
2479;-23,35;-48,77;Inga;Inga;edulis;Mart.;edulis;Mart.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;ros;p;0.5
2479;-23,35;-48,77;Inga;Inga;edulis;Mart.;edulis;Mart.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;sho;p;0.5
2480;-23,35;-48,77;Inga;Inga;marginata;Willd.;marginata;Willd.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;chi;p;1
2480;-23,35;-48,77;Inga;Inga;marginata;Willd.;marginata;Willd.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;ros;p;1
2481;-23,35;-48,77;Inga;Inga;affinis;DC.;vera subsp. affinis;(DC.) T.D.Penn.;Glossophaginae;Anoura;Anoura;Anoura caudifer;(E. Geoffroy, 1818);Anoura caudifer;(É. Geoffroy, 1818);bat;bel;p;0.06
