id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
2738;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Sturnira;Sturnira;Sturnira lilium;E. Geoffroy;Sturnira lilium;(É. Geoffroy, 1810);bat;ros;p;NA
2738;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Sturnira;Sturnira;Sturnira lilium;E. Geoffroy;Sturnira lilium;(É. Geoffroy, 1810);bat;win;p;NA
2953;-22,75;-45,51;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Glossophaginae;Lonchoglossa;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;hea;NA;NA
2953;-22,75;-45,51;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Glossophaginae;Lonchoglossa;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;ros;NA;NA
2961;-22,95;-43,16;Pitcairnia;Pitcairnia;albiflos;Herb.;albiflos;Herb.;Lonchophyllinae;Lonchophylla;Lonchophylla;Lonchophylla cf. bokermanni;Sazima, Vizotto & Taddei;Lonchophylla cf. bokermanni;NA;bat;NA;NA;NA
2962;-22,95;-43,16;Pitcairnia;Pitcairnia;albiflos;Lodd.;staminea;Lodd.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;NA;NA;NA
3065;-22,45;-44,61;Abutilon;Callianthe;bedfordianum;(Hook.) A.St.-Hil. & Naudin;bedfordiana;(Hook.) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;NA;p;NA
3066;-22,45;-44,61;Abutilon;Callianthe;bedfordianum;(Hook.) A.St.-Hil. & Naudin;bedfordiana;(Hook.) Donnell;Glossophaginae;Anoura;Anoura;Anoura geoffroyi;Gray;Anoura geoffroyi;Gray, 1838;bat;NA;p;NA
3101;-22,45;-44,61;Vriesea;Vriesea;longicaulis;(Baker) Mez.;longicaulis;(Baker) Mez;Glossophaginae;Anoura;Anoura;Anoura caudifer;É Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;NA;p;NA
3119;-22,38;-44,66;Callianthe;Callianthe;bedfordiana;(Hook.) Donnel;bedfordiana;(Hook.) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;NA;NA;NA
3120;-13;-38,3;Pachira;Pachira;aquatica;Aubl.;aquatica;Aubl.;Phyllostomidae;Phyllostomus;Phyllostomus;Phyllostomus discolor;Wagner;Phyllostomus discolor;(Wagner, 1843);bat;fro;NA;NA
3121;-13;-38,3;Pachira;Pachira;aquatica;Aubl.;aquatica;Aubl.;Phyllostomidae;Artibeus;Artibeus;Artibeus liturato;Offers;Artibeus lituratus;(Olfers, 1818);bat;front;NA;NA
3122;-13;-38,3;Pachira;Pachira;aquatica;Aubl.;aquatica;Aubl.;Phyllostomidae;Chiroderma;Chiroderma;Chiroderma doriae;Thomas, 1891;Chiroderma doriae;Thomas, 1891;bat;front;NA;NA
3123;-13;-38,3;Pachira;Pachira;aquatica;Aubl.;aquatica;Aubl.;Phyllostomidae;Artibeus;Artibeus;Artibeus planirostris;(Spix, 1823);Artibeus planirostris;(Spix, 1823);bat;front;NA;NA
3124;-13;-38,3;Pachira;Pachira;aquatica;Aubl.;aquatica;Aubl.;Phyllostomidae;Platyrrhinus;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;front;NA;NA
3125;-13;-38,3;Pachira;Pachira;aquatica;Aubl.;aquatica;Aubl.;Phyllostomidae;Sturnira;Sturnira;Sturnira lilium;E. Geoffroy;Sturnira lilium;(É. Geoffroy, 1810);bat;front;NA;NA
243;-23,21;-47,79;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Atelinae;Brachyteles;Brachyteles;Brachyteles arachnoides;E Geoffroy;Brachyteles arachnoides;(É. Geoffroy, 1806);monkey;muz;p;0.11
244;-23,21;-47,79;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Cebinae;Cebus;Sapajus;Sapajus apella;NA;Sapajus nigritus;(Linnaeus, 1758);monkey;muz;p;0.89
808;-22,51;-42,26;Combretum;Combretum;fruticosum;(Loefl.) Stuntz;fruticosum;(Loefl.) Stuntz;;Leontopithecus;Leontopithecus;Leontopithecus rosalia;Linnaeus;Leontopithecus rosalia;(Linnaeus, 1766);monkey;NA;NA;NA
