REF_ID;ORDEMBD;STUDY_AIM;SPECIES;SP_ORIGIN;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;Longitude;Latitude;PRECISION;UC;ANNUAL_TEMP;ANNUAL_RAIN;ALTITUDE;VEG_TYPE;BUFFER_20KM;OLSONECONAME;OLSONG200R;RIBEIROVEGTYPE;BSRS;METHOD;COL_STRT_MO;COL_STRT_YR;COL_END_MO;COL_END_YR;LTR_EFF;CAM_EFF;SURV_EFF
REF0804;Agostini_etal_12;COMM;Sapajus nigritus;Autochtone;Karadya Private Reserve;100;Andresito;MISIONES;Argentina;-53960783,00;-25859418,00;Precise;Yes;23.7;1809;393;Atlantic forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;January;2012;December;2012;NA;NA;NA
REF0804;Agostini_etal_13;COMM;Sapajus nigritus;Autochtone;Urugua-i Provintial Park;54000;Andresito;MISIONES;Argentina;-53984461,00;-25854976,00;Precise;Yes;24.1;1786;383;Atlantic forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;January;2012;December;2012;NA;NA;NA
REF0804;Agostini_etal_14;COMM;Sapajus nigritus;Autochtone;Foerster Provintial Park;4980;Andresito;MISIONES;Argentina;-53903056,00;-25862222,00;Precise;Yes;23.9;1802;395;Atlantic forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;January;2012;December;2012;NA;NA;NA
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_19;ABD-COMM;Sapajus nigritus;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-5383333333,00;-26,50;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;NA;NA
REF0801;Agostini_etal_2;ABD-COMM;Alouatta guariba;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-5383333333,00;-26,50;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;NA;NA
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_20;COMM;Sapajus nigritus;Autochtone;Parque Provincial Cruce Caballero;432;San Pedro;MISIONES;Argentina;-53966667,00;-26466667,00;Not precise;Yes;23.1;1848;513;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;January;1992;November;1994;NA;NA;NA
REF0801;Agostini_etal_3;ABD-COMM;Alouatta caraya;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-5383333333,00;-26,50;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;NA;NA
REF0802;Agostini_etal_4;COMM;Alouatta guariba;Autochtone;Parque Provincial Cruce Caballero;432;San Pedro;MISIONES;Argentina;-53966667,00;-26466667,00;Not precise;Yes;23.1;1848;513;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;January;1992;November;1994;NA;NA;NA
REF0736;Almeida_AS_2_1;COMM;Alouatta guariba;Autochtone;RPPN Uru;NA;CAMPO LARGO;PARANA;Brazil;-49,41;-25,48;Precise;Yes;20.5;1427;915;Mixed Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;NA;December;2013;April;2014;NA;NA;NA
REF0740;Almeida_AS_2_10;COMM;Callicebus nigrifrons;Autochtone;RPPN Poco Fundo;NA;OURO PRETO;MINAS GERAIS;Brazil;-435443,00;-202707,00;Precise;Yes;19.8;1603;1207;Semideciduous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;November;2008;November;2008;NA;NA;1 day
REF0741;Almeida_AS_2_11;COMM;Callithrix jacchus;Autochtone;RPPN Monte Alegre;NA;ITAITINGA;CEARA;Brazil;-38,54;-3,95;Precise;Yes;26.4;1295;88;Semideciduous forest;inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;May;2011;May;2011;NA;NA;3 days
REF0742;Almeida_AS_2_12;COMM;Alouatta guariba;Autochtone;RPPN Mitra do Bispo;NA;BOCAINA DE MINAS;MINAS GERAIS;Brazil;-445575,00;-22149,00;Precise;Yes;16.8;1920;1759;Dense Ombrophilous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;NA;NA;NA;NA;NA;NA
REF0742;Almeida_AS_2_13;COMM;Brachyteles arachnoides;Autochtone;RPPN Mitra do Bispo;NA;BOCAINA DE MINAS;MINAS GERAIS;Brazil;-445575,00;-22149,00;Precise;Yes;16.8;1920;1759;Dense Ombrophilous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;NA;NA;NA;NA;NA;NA
REF0742;Almeida_AS_2_14;COMM;Callicebus nigrifrons;Autochtone;RPPN Mitra do Bispo;NA;BOCAINA DE MINAS;MINAS GERAIS;Brazil;-445575,00;-22149,00;Precise;Yes;16.8;1920;1759;Dense Ombrophilous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;NA;NA;NA;NA;NA;NA
REF0743;Almeida_AS_2_15;COMM;Callithrix jacchus;Autochtone;RPPN Mae-da-lua;NA;TRAIRI;CEARA;Brazil;-392824,00;-3484,00;Precise;Yes;27;1031;99;Semideciduous forest;inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;NA;2006;NA;2011;NA;NA;NA
REF0744;Almeida_AS_2_16;COMM;Alouatta guariba;Autochtone;RPPN Emilio Fiorentino Battistella;NA;CORUPA;SANTA CATARINA;Brazil;-493572,00;-26394,00;Precise;Yes;21;1508;675;Dense Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;Survey;NA;2009;NA;2013;NA;NA;NA
REF0744;Almeida_AS_2_17;COMM;Sapajus nigritus;Autochtone;RPPN Emilio Fiorentino Battistella;NA;CORUPA;SANTA CATARINA;Brazil;-493572,00;-26394,00;Precise;Yes;21;1508;675;Dense Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;Survey;NA;2009;NA;2013;NA;NA;NA
REF0745;Almeida_AS_2_18;COMM;Callithrix jacchus;Allochtone;RPPN Ceu do Mar;NA;MAGE;RIO DE JANEIRO;Brazil;-431609,00;-225915,00;Precise;Yes;25.4;1840;45;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Survey;January;2012;March;2012;NA;NA;NA
REF0745;Almeida_AS_2_19;COMM;Sapajus nigritus;Autochtone;RPPN Ceu do Mar;NA;MAGE;RIO DE JANEIRO;Brazil;-431609,00;-225915,00;Precise;Yes;25.4;1840;45;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Survey;January;2012;March;2012;NA;NA;NA
REF0737;Almeida_AS_2_2;COMM;Alouatta guariba;Autochtone;RPPN Taipa Rio do Couro;NA;RIO NEGRINHO;SANTA CATARINA;Brazil;-495521,00;-263212,00;Precise;Yes;20.6;1426;908;"Dense Ombrophilous forest; Mixed Ombrophilous forest";inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;NA;NA;2008;NA;2008;NA;NA;NA
REF0746;Almeida_AS_2_20;COMM;Alouatta guariba;Autochtone;RPPN Caetezal;NA;JOINVILLE;SANTA CATARINA;Brazil;-490624,00;-261128,00;Precise;Yes;18.1;1733;1141;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Areas de Tensao Ecologica;Serra do Mar;Survey;NA;2005;NA;2005;NA;NA;NA
REF0746;Almeida_AS_2_21;COMM;Sapajus nigritus;Autochtone;RPPN Caetezal;NA;JOINVILLE;SANTA CATARINA;Brazil;-490624,00;-261128,00;Precise;Yes;18.1;1733;1141;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Areas de Tensao Ecologica;Serra do Mar;Survey;NA;2005;NA;2005;NA;NA;NA
REF0747;Almeida_AS_2_22;COMM;Alouatta guariba;Autochtone;RPPN Bosque de Canela;NA;SAO FRANCISCO DE PAULA;RIO GRANDE DO SUL;Brazil;-504825,00;-292013,00;Precise;Yes;19.6;2083;977;Mixed Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Estepe;Florestas de Araucaria;Survey;NA;NA;NA;NA;NA;NA;NA
REF0748;Almeida_AS_2_23;COMM;Alouatta guariba;Autochtone;Flona Tres Barras;NA;TRES BARRAS;SANTA CATARINA;Brazil;-502969,00;-262122,00;Precise;Yes;21.3;1440;796;Mixed Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;Survey;NA;2005;NA;2005;NA;NA;NA
REF0749;Almeida_AS_2_24;COMM;Callicebus melanochir;Autochtone;Flona Rio Preto;NA;Conceicao da Barra;ESPIRITO SANTO;Brazil;-395154,00;-180949,00;Precise;Yes;NA;NA;NA;Dense Ombrophilous forest;inside the 20 km polygon;NA;NA;NA;NA;Survey;NA;1998;NA;1998;NA;NA;NA
REF0749;Almeida_AS_2_25;COMM;Callithrix geoffroyi;Autochtone;Flona Rio Preto;NA;Conceicao da Barra;ESPIRITO SANTO;Brazil;-395154,00;-180949,00;Precise;Yes;NA;NA;NA;Dense Ombrophilous forest;inside the 20 km polygon;NA;NA;NA;NA;Survey;NA;1998;NA;1998;NA;NA;NA
REF0749;Almeida_AS_2_26;COMM;Sapajus robustus;Autochtone;Flona Rio Preto;NA;Conceicao da Barra;ESPIRITO SANTO;Brazil;-395154,00;-180949,00;Precise;Yes;NA;NA;NA;Dense Ombrophilous forest;inside the 20 km polygon;NA;NA;NA;NA;Survey;NA;1998;NA;1998;NA;NA;NA
REF0750;Almeida_AS_2_27;COMM;Callithrix jacchus;Autochtone;Flona do Ibura;NA;CAPELA;SERGIPE;Brazil;-370733,00;-105118,00;Precise;Yes;25.7;1246;99;"Semideciduous forest; Mangrove";inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;NA;NA;NA;NA;NA;NA;NA
REF0750;Almeida_AS_2_28;COMM;Sapajus xanthosternos;Autochtone;Flona do Ibura;NA;CAPELA;SERGIPE;Brazil;-370733,00;-105118,00;Precise;Yes;25.7;1246;99;"Semideciduous forest; Mangrove";inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;NA;NA;NA;NA;NA;NA;NA
REF0751;Almeida_AS_2_29;COMM;Sapajus nigritus;Autochtone;Flona Ibirama;NA;APIUNA;SANTA CATARINA;Brazil;-494531,00;-270273,00;Precise;Yes;23.6;1568;237;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Survey;January;2006;October;2006;NA;NA;NA
REF0737;Almeida_AS_2_3;COMM;Sapajus nigritus;Autochtone;RPPN Taipa Rio do Couro;37.3;RIO NEGRINHO;SANTA CATARINA;Brazil;-495521,00;-263212,00;Precise;Yes;20.6;1426;908;"Dense Ombrophilous forest; Mixed Ombrophilous forest";inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;NA;NA;NA;NA;NA;NA;NA;NA
REF0752;Almeida_AS_2_30;COMM;Alouatta belzebul;Autochtone;Esec de Murici;NA;MURICI;ALAGOAS;Brazil;-3587130278,00;-9214580556,00;Precise;Yes;22.6;1778;438;"Open Ombrophilous forest; Dense Ombrophilous forest";inside the 20 km polygon;Pernambuco coastal forests;Atlantic Forests;Floresta Ombrofila Aberta;Pernambuco;Survey;NA;NA;NA;NA;NA;NA;NA
REF0753;Almeida_AS_2_31;COMM;Alouatta guariba;Autochtone;Esec Aracuri;NA;CAPAO BONITO DO SUL;RIO GRANDE DO SUL;Brazil;-513717,00;-282213,00;Precise;Yes;21.3;1759;843;Montane forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Estepe;Florestas de Araucaria;Survey;NA;NA;NA;NA;NA;NA;NA
REF0738;Almeida_AS_2_4;COMM;Alouatta guariba;Autochtone;RPPN Taipa do Rio Itajai;NA;RIO NEGRINHO;SANTA CATARINA;Brazil;-495658,00;-263343,00;Precise;Yes;20.5;1432;908;"Dense Ombrophilous forest; Mixed Ombrophilous forest";inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;NA;NA;2008;NA;2008;NA;NA;NA
REF0738;Almeida_AS_2_5;COMM;Sapajus nigritus;Autochtone;RPPN Taipa do Rio Itajai;NA;RIO NEGRINHO;SANTA CATARINA;Brazil;-495658,00;-263343,00;Precise;Yes;20.5;1432;908;"Dense Ombrophilous forest; Mixed Ombrophilous forest";inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;NA;NA;2008;NA;2008;NA;NA;NA
REF0739;Almeida_AS_2_6;COMM;Callithrix kuhlii;Autochtone;RPPN Rio Capitao;NA;MARAU;BAHIA;Brazil;-390538,00;-142133,00;Precise;Yes;25.9;2214;9;Dense Ombrophilous forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;NA;NA;NA;NA;NA;NA;NA;NA
REF0739;Almeida_AS_2_7;COMM;Sapajus xanthosternos;Autochtone;RPPN Rio Capitao;NA;MARAU;BAHIA;Brazil;-390538,00;-142133,00;Precise;Yes;25.9;2214;9;Dense Ombrophilous forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;NA;NA;NA;NA;NA;NA;NA;NA
REF0739;Almeida_AS_2_8;COMM;Callicebus melanochir;Autochtone;RPPN Rio Capitao;NA;MARAU;BAHIA;Brazil;-390538,00;-142133,00;Precise;Yes;25.9;2214;9;Dense Ombrophilous forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;NA;NA;NA;NA;NA;NA;NA;NA
REF0740;Almeida_AS_2_9;COMM;Callithrix penicillata;Autochtone;RPPN Poco Fundo;NA;OURO PRETO;MINAS GERAIS;Brazil;-435443,00;-202707,00;Precise;Yes;19.8;1603;1207;Semideciduous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;November;2008;November;2008;NA;NA;1 day
REF0680;Almeida_AS_plan_1_10;ABD-COMM;Alouatta guariba;Autochtone;Reserva Biologica Augusto Ruschi;4000;LINHARES;ESPIRITO SANTO;Brazil;-404045,00;-194836,00;Precise;Yes;26.8;1166;118;Montane forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;Line transect;January;1989;December;1989;NA;NA;NA
REF0703;Almeida_AS_plan_1_109;ABD-COMM;Alouatta guariba;Autochtone;Reserva Caetetus;2178;AVAI;SAO PAULO;Brazil;-49,44;-22,26;Precise;Yes;24;1233;579;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0680;Almeida_AS_plan_1_11;ABD-COMM;Brachyteles hypoxanthus;Autochtone;Reserva Biologica Augusto Ruschi;4000;LINHARES;ESPIRITO SANTO;Brazil;-404045,00;-194836,00;Precise;Yes;26.8;1166;118;Montane forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;Line transect;January;1989;December;1989;NA;NA;NA
REF0703;Almeida_AS_plan_1_110;ABD-COMM;Alouatta guariba;Autochtone;Fazenda Tucano (Estacao Ecologica Mico-leao-preto);2000;TEODORO SAMPAIO;SAO PAULO;Brazil;-522753,00;-22291,00;Precise;Yes;25.5;1166;310;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_111;ABD-COMM;Alouatta guariba;Autochtone;Parque Estadual Morro do Diabo;35000;MIRANTE DO PARANAPANEMA;SAO PAULO;Brazil;-52,20;-22,30;Precise;Yes;25.1;1171;322;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_112;ABD-COMM;Alouatta guariba;Autochtone;Fazenda Rio Claro;1700;JAU;SAO PAULO;Brazil;-48,51;-22,27;Precise;No;22.9;1292;611;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_113;ABD-COMM;Alouatta guariba;Autochtone;Fazenda Mosquito;2100;TACIBA;SAO PAULO;Brazil;-51,30;-22,40;Precise;No;24.8;1243;444;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_114;ABD-COMM;Sapajus nigritus;Autochtone;Fazenda Mosquito;2100;TACIBA;SAO PAULO;Brazil;-51,30;-22,40;Precise;No;24.8;1243;444;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_115;ABD-COMM;Sapajus nigritus;Autochtone;Fazenda Tucano (Estacao Ecologica Mico-leao-preto);2000;TEODORO SAMPAIO;SAO PAULO;Brazil;-522753,00;-22291,00;Precise;Yes;25.5;1166;310;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_116;ABD-COMM;Sapajus nigritus;Autochtone;Parque Estadual Morro do Diabo;35000;MIRANTE DO PARANAPANEMA;SAO PAULO;Brazil;-52,20;-22,30;Precise;Yes;25.1;1171;322;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_117;ABD-COMM;Sapajus nigritus;Autochtone;Fazenda Rio Claro;1700;JAU;SAO PAULO;Brazil;-48,51;-22,27;Precise;No;22.9;1292;611;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0703;Almeida_AS_plan_1_118;ABD-COMM;Sapajus nigritus;Autochtone;Reserva Caetetus;2178;AVAI;SAO PAULO;Brazil;-49,44;-22,26;Precise;Yes;24;1233;579;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;NA
REF0710;Almeida_AS_plan_1_126;COMM;Callithrix aurita;Autochtone;Parque Estadual Serra do Mar - Nucleo Santa Virginia;17000;CUNHA;SAO PAULO;Brazil;-45,03;-23,17;Precise;Yes;19.2;1579;1079;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;September;2008;September;2009;NA;NA;NA
REF0710;Almeida_AS_plan_1_127;COMM;Sapajus nigritus;Autochtone;Parque Estadual Serra do Mar - Nucleo Santa Virginia;17000;CUNHA;SAO PAULO;Brazil;-45,03;-23,17;Precise;Yes;19.2;1579;1079;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;September;2008;September;2009;NA;NA;NA
REF0710;Almeida_AS_plan_1_128;COMM;Callicebus nigrifrons;Autochtone;Parque Estadual Serra do Mar - Nucleo Santa Virginia;17000;CUNHA;SAO PAULO;Brazil;-45,03;-23,17;Precise;Yes;19.2;1579;1079;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;September;2008;September;2009;NA;NA;NA
REF0710;Almeida_AS_plan_1_129;COMM;Alouatta guariba;Autochtone;Parque Estadual Serra do Mar - Nucleo Santa Virginia;17000;CUNHA;SAO PAULO;Brazil;-45,03;-23,17;Precise;Yes;19.2;1579;1079;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;September;2008;September;2009;NA;NA;NA
REF0710;Almeida_AS_plan_1_130;COMM;Brachyteles arachnoides;Autochtone;Parque Estadual Serra do Mar - Nucleo Santa Virginia;17000;CUNHA;SAO PAULO;Brazil;-45,03;-23,17;Precise;Yes;19.2;1579;1079;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;September;2008;September;2009;NA;NA;NA
REF0716;Almeida_AS_plan_1_142;COMM;Callithrix jacchus;Autochtone;Parque Nacional de Ubajara;4000;MASSAPE;CEARA;Brazil;-40,52;-3,48;Precise;Yes;27.1;1200;143;Open Ombrophilous forest;inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;December;1998;February;1999;NA;NA;NA
REF0716;Almeida_AS_plan_1_143;COMM;Sapajus libidinosus;Autochtone;Parque Nacional de Ubajara;4000;MASSAPE;CEARA;Brazil;-40,52;-3,48;Precise;Yes;27.1;1200;143;Open Ombrophilous forest;inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;December;1998;February;1999;NA;NA;NA
REF0682;Almeida_AS_plan_1_22;ABD-COMM;Sapajus nigritus;Autochtone;Parque Estadual Intervales;38356;CAPAO BONITO;SAO PAULO;Brazil;-48,15;-24,20;Precise;Yes;21;1425;939;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;July;1994;August;1994;NA;NA;NA
REF0728;Almeida_AS_plan_1_232;COMM;Callicebus nigrifrons;Autochtone;EPTEA Mata do Paraiso;384.5;JEQUERI;MINAS GERAIS;Brazil;-42,51;-20,48;Precise;NA;21.7;1306;907;Semideciduous forest;inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;April;2005;April;2006;NA;NA;NA
REF0728;Almeida_AS_plan_1_233;COMM;Callithrix jacchus;Allochtone;EPTEA Mata do Paraiso;384.5;JEQUERI;MINAS GERAIS;Brazil;-42,51;-20,48;Precise;NA;21.7;1306;907;Semideciduous forest;inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;April;2005;April;2006;NA;NA;NA
REF0682;Almeida_AS_plan_1_25;ABD-COMM;Sapajus nigritus;Autochtone;Serra da Paranapiacaba;37644;JUQUIA;SAO PAULO;Brazil;-475657,00;-240753,00;Precise;Yes;21.5;1804;618;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;May;1987;October;1991;NA;NA;NA
REF0682;Almeida_AS_plan_1_26;ABD-COMM;Brachyteles arachnoides;Autochtone;Serra da Paranapiacaba;37644;JUQUIA;SAO PAULO;Brazil;-475657,00;-240753,00;Precise;Yes;21.5;1804;618;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;May;1987;October;1991;NA;NA;NA
REF0682;Almeida_AS_plan_1_27;ABD-COMM;Alouatta guariba;Autochtone;Serra da Paranapiacaba;37644;JUQUIA;SAO PAULO;Brazil;-475657,00;-240753,00;Precise;Yes;21.5;1804;618;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Line transect;May;1987;October;1991;NA;NA;NA
REF0680;Almeida_AS_plan_1_7;ABD-COMM;Callithrix flaviceps;Autochtone;Reserva Biologica Augusto Ruschi;4000;LINHARES;ESPIRITO SANTO;Brazil;-404045,00;-194836,00;Precise;Yes;26.8;1166;118;Montane forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;Line transect;January;1989;December;1989;NA;NA;NA
REF0680;Almeida_AS_plan_1_8;ABD-COMM;Callicebus personatus;Autochtone;Reserva Biologica Augusto Ruschi;4000;LINHARES;ESPIRITO SANTO;Brazil;-404045,00;-194836,00;Precise;Yes;26.8;1166;118;Montane forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;Line transect;January;1989;December;1989;NA;NA;NA
REF0680;Almeida_AS_plan_1_9;ABD-COMM;Sapajus robustus;Autochtone;Reserva Biologica Augusto Ruschi;4000;LINHARES;ESPIRITO SANTO;Brazil;-404045,00;-194836,00;Precise;Yes;26.8;1166;118;Montane forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;Line transect;January;1989;December;1989;NA;NA;NA
Unpublished data. Costa-Araújo, R.;AraujoR_1;COMM;Callithrix kuhlii;Autochtone;137;NA;ITAPEBI;BAHIA;Brazil;-39568694,00;-15929852,00;Precise;No;25;1081;80;"Tropical Wet forest; Tabuleiro forest";inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;March;2013;December;2014;NA;NA;NA
Unpublished data. Costa-Araújo, R.;AraujoR_10;COMM;Callicebus melanochir;Autochtone;135;NA;ITARANTIM;BAHIA;Brazil;-39904267,00;-15969337,00;Precise;No;26.1;836;140;"Tropical Dry forest; Semideciduous";inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Decidual;Diamantina;Survey;March;2013;December;2014;NA;NA;NA
Unpublished data. Costa-Araújo, R.;AraujoR_11;COMM;Callithrix kuhlii;Autochtone;134;NA;ITAPEBI;BAHIA;Brazil;-3974997,00;-15921144,00;Precise;No;25.5;931;121;"Tropical Dry forest; Semideciduous";inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;March;2013;December;2014;NA;NA;NA
Unpublished data. Costa-Araújo, R.;AraujoR_12;COMM;Sapajus xanthosternos;Autochtone;134;NA;ITAPEBI;BAHIA;Brazil;-3974997,00;-15921144,00;Precise;No;25.5;931;121;"Tropical Dry forest; Semideciduous";inside the 20 km polygon;Bahia interior forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;March;2013;December;2014;NA;NA;NA
